Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C27, C29, C3, C31, C40",0603,7,10uF,C19702
"C10, C22, C32, C37, C48, C7, C8, C9",0603,8,2.2uF,C23630
"C11, C12, C5, C6",0805,4,47uF,C16780
"C13, C23, C24, C47, C49, C57",0603,6,1uF,C15849
"C14, C15, C16, C17, C18, C19, C20, C21, C25, C26, C28, C30, C38, C4, C45, C46",0603,16,100nF,C14663
"C33, C34",0603,2,2.2nF,C1604
"C35, C36",0603,2,20pF,C1648
D1,D_SOD-323,1,1N4148WS,C2128
D2,0603,1,LED,C2286
"FB1, FB2, FB3, FB4, FB5",0805,5,600@100MHz,C1017
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"IC1, IC2",SOT-23,2,XC6206P332MR,C5446
IC3,QFN50P300X300X100-17N-D,1,TPA6139A2RGTR,C2868391
IC4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
IC5,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C107671
IC6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
IC8,SMDIP-6_W9.53mm,1,H11L1,C78589
J1,CONN_S3B-ZR-SM4A-TFLFSN_JST,1,Conn_01x03,C72591
J10,FPC_40-flap,1,FPC-05FB-40PH20,C2856837
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
J3,Hirose_DF12_DF12C3.0-20DS-0.5V_2x10_P0.50mm_Vertical,1,Conn_02x10_Counter_Clockwise,C3645324
J4,Xunpu_TF-115_microSD,1,Micro_SD_Card,C720505
J5,PJ327C4A,1,Headphones,C145813
J8,PJ327C4A,1,MIDI Out,C145813
J9,PJ327C4A,1,MIDI In,C145813
"R1, R13, R16, R27, R8",0603,5,1k,C21190
"R10, R11",0603,2,27,C25190
R12,0603,1,DNF,
"R14, R15",0603,2,470,C23179
"R2, R3",0603,2,100k,C25803
R20,0603,1,33,C23140
R21,0603,1,270,C22966
R22,0402,1,220,C1111
R23,0603,1,10,C22859
R29,0603,1,560,C23204
R4,0805,1,82k,C17840
"R5, R6",0603,2,5k1,C23186
R9,0603,1,1M,C22935
SW1,MS22D28G020,1,MS-22D28-G020,C963205
SW2,SW_Push_1P1T_XKB_TS-1187A,1,SW_SPST,C318884
U1,SOT23-6_DIO,1,AP2502KTR-G1,C460349
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,C54313
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz 20pF ±10ppm,C9002
