Designator,Mid X,Mid Y,Rotation,Layer
C1,4.0,-31.5,180.0,bottom
C10,24.75,-14.25,0.0,bottom
C11,24.75,-12.5,0.0,bottom
C12,24.8,-10.5,0.0,bottom
C13,68.5,-17.5,0.0,bottom
C14,42.25,-60.0,0.0,bottom
C15,40.9,-47.782147,0.0,bottom
C16,48.05,-46.4,0.0,bottom
C17,52.798371,-49.668147,180.0,bottom
C18,41.495371,-54.498008,0.0,bottom
C19,42.25,-58.5,0.0,bottom
C2,4.0,-37.0,180.0,bottom
C20,41.495371,-50.830147,0.0,bottom
C21,53.4,-55.0,180.0,bottom
C22,71.5,-23.0,90.0,bottom
C23,50.3,-44.925,90.0,bottom
C24,41.495371,-49.306147,0.0,bottom
C25,50.0,-42.0,0.0,bottom
C26,66.46,-26.136,180.0,bottom
C27,54.5,-23.75,90.0,bottom
C28,56.344,-23.802,90.0,bottom
C29,68.0,-31.5,270.0,bottom
C3,60.5,-40.65,90.0,bottom
C30,65.952,-31.346,270.0,bottom
C31,54.75,-27.0,90.0,bottom
C32,62.129,-24.234,0.0,bottom
C33,71.794,-27.028,0.0,bottom
C34,71.045,-25.504,0.0,bottom
C35,49.0,-59.25,180.0,bottom
C36,45.0,-62.25,0.0,bottom
C37,66.46,-28.044,180.0,bottom
C38,56.25,-27.0,90.0,bottom
C4,59.0,-39.75,90.0,bottom
C40,66.5,-24.25,180.0,bottom
C45,60.25,-5.75,90.0,bottom
C46,50.25,-5.25,270.0,bottom
C47,72.5,-16.0,180.0,bottom
C48,73.0,-23.0,90.0,bottom
C49,75.5,-18.0,270.0,bottom
C5,24.75,-28.5,0.0,bottom
C57,18.75,-12.0,180.0,bottom
C6,24.75,-26.5,0.0,bottom
C7,24.5,-24.75,0.0,bottom
C8,24.25,-19.25,0.0,bottom
C9,24.25,-17.75,0.0,bottom
D1,56.5,-17.0,0.0,bottom
D2,3.25,-10.5,270.0,bottom
FB1,24.75,-16.0,180.0,bottom
FB2,43.718,-16.978,270.0,bottom
FB3,32.0,-17.0,90.0,bottom
FB4,35.75,-17.0,90.0,bottom
FB5,47.25,-16.978,270.0,bottom
IC1,4.0,-34.25,270.0,bottom
IC2,24.25,-22.0625,90.0,bottom
IC3,72.25,-19.0,180.0,bottom
IC4,55.719371,-45.708147,270.0,bottom
IC5,60.9405,-28.683,270.0,bottom
IC6,47.105371,-53.505647,0.0,bottom
IC8,55.25,-9.765,0.0,bottom
J1,10.25,-33.361,0.0,bottom
J10,45.7765,-32.75,90.0,bottom
J2,20.45,-5.7875,180.0,bottom
J3,55.0,-62.0,0.0,bottom
J4,67.725,-43.2,270.0,bottom
J5,66.625,-8.977,0.0,bottom
J8,32.125,-8.977,0.0,bottom
J9,43.625,-8.977,0.0,bottom
R1,5.75,-11.25,180.0,bottom
R10,45.778,-47.4,225.0,bottom
R11,44.0,-47.75,225.0,bottom
R13,53.025,-42.0,180.0,bottom
R14,70.524,-28.552,180.0,bottom
R15,70.524,-30.076,180.0,bottom
R16,45.75,-60.0,270.0,bottom
R2,24.5,-37.75,270.0,bottom
R20,32.925,-19.75,0.0,bottom
R21,50.25,-8.5,270.0,bottom
R22,45.3,-18.5,270.0,bottom
R23,35.75,-20.175,90.0,bottom
R27,15.75,-11.5,270.0,bottom
R29,21.75,-14.0,90.0,bottom
R3,24.5,-40.75,270.0,bottom
R4,75.0,-23.0,270.0,bottom
R5,18.075,-10.5,0.0,bottom
R6,22.25,-11.0,270.0,bottom
R8,13.5,-15.75,90.0,bottom
R9,13.5,-8.625,0.0,bottom
SW1,7.0,-17.0,270.0,bottom
SW2,7.0,-25.5,270.0,bottom
U1,51.0,-38.25,180.0,bottom
U2,18.75,-14.9375,0.0,bottom
Y1,48.75,-62.0,180.0,bottom
